ID,POS,Gloss
35677,noun,"an upright pole with pegs or hooks on which to hang clothing",
35678,noun,"a cord on which clothes are hung to dry",
35679,noun,"a merchant who sells men's clothing",
35680,noun,"goods (as food or clothing) intended for direct use or consumption",
35681,noun,"clothing to be worn at a beach",
35682,noun,"ordinary clothing as distinguished from uniforms, work clothes, clerical garb, etc.",
35683,noun,"clothing that is conventionally worn by the opposite sex (especially women's clothing when worn by a man); ""he went to the party dressed in drag""; ""the waitresses looked like missionaries in drag""",
35684,noun,"clothing worn on a person's feet",
35685,noun,"clothing that is a grey color; ""he was dressed in grey""",
35686,noun,"clothing for the hands",
35687,noun,"knitted clothing",
35688,noun,"informal clothing designed to be worn when you are relaxing",
35689,noun,"clothing suitable for relaxation",
35690,noun,"an article of apparel worn about the neck",
35691,noun,"garments designed to be worn in bed",
35692,noun,"clothing for use outdoors",
35693,noun,"ready-made clothing; ""she couldn't find anything in ready-to-wear that she liked""",
35694,noun,"an article of clothing (garment or shoe) that is easily slipped on or off",
35695,noun,"cheap clothing (as formerly issued to sailors in Britain)",
35696,noun,"ordinary clothing suitable for public appearances (as opposed to costumes or sports apparel or work clothes etc.)",
35697,noun,"custom-made clothing",
35698,noun,"informal terms for clothing",
35699,noun,"clothing of distinctive design worn by members of a particular group as a means of identification",
35700,noun,"an archaic term for clothing",
35701,noun,"clothing worn for doing manual labor",
35702,verb,"make overcast or cloudy; ""Fall weather often overcasts our beaches""",
35703,verb,"get foggy; ""The windshield fogged up""",
35704,verb,"become hazy, dull, or cloudy",
35705,verb,"place under suspicion or cast doubt upon; ""sully someone's reputation""",
35706,verb,"colour with streaks or blotches of different shades",
35707,verb,"mark with a spot or spots so as to allow easy recognition; ""spot the areas that one should clearly identify""",
35708,verb,"variegate with spots or marks; ""His face was harlequined with patches""",
35709,verb,"produce a mottled effect; ""The sunlight stippled the trees""",
35710,verb,"make milky or dull; ""The chemical clouded the liquid to which it was added""",
35711,verb,"make less lively or vigorous; ""Middle age dulled her appetite for travel""",
35712,noun,"an immense cloud of gas (mainly hydrogen) and dust in interstellar space",
35713,noun,"clouds of particles or gases occurring throughout interstellar space",
35714,noun,"a cloud of dust suspended in the air",
35715,noun,"a large cloud of rubble and dust shaped like a mushroom and rising into the sky after an explosion (especially of a nuclear bomb)",
35716,noun,"a layer of clouds seen from a distance",
35717,noun,"an artificial cloud created by an aircraft; caused either by condensation due to the reduction in air pressure above the wing surface or by water vapor in the engine exhaust",
35718,noun,"a dark cloud of great vertical extent charged with electricity; associated with thunderstorms",
35719,noun,"a globular cloud",
35720,noun,"a luminous iridescent cloud at a high altitude that may be seen when the sun is a few degrees below the horizon",
35721,noun,"a small cloud",
35722,noun,"a heavy dark cloud presaging rain or a storm",
35723,noun,"a large dark low cloud",
35724,noun,"water in a vaporous form diffused in the atmosphere but below boiling temperature",
35725,noun,"out of touch with reality; ""his head was in the clouds""",
35726,noun,"the state of being insubstantial or imaginary; not existing objectively or in fact",
35727,noun,"a cause of worry or gloom or trouble; ""the only cloud on the horizon was the possibility of dissent by the French""",
35728,noun,"suspicion affecting your reputation; ""after that mistake he was under a cloud""",
35729,noun,"a group of many insects; ""a swarm of insects obscured the light""; ""a cloud of butterflies""",
35730,noun,"a swarm of insects that attack plants; ""a plague of grasshoppers""",
35731,noun,"a heavy rain",
35732,noun,"water falling in drops from vapor condensed in the atmosphere",
35733,adjective,"lacking definite form or limits; ""gropes among cloudy issues toward a feeble conclusion""- H.T.Moore; ""nebulous distinction between pride and conceit""",
35734,adjective,"(of especially liquids) clouded as with sediment; ""a cloudy liquid""; ""muddy coffee""; ""murky waters""",
35735,adjective,"not clear; not transmitting or reflecting light or radiant energy; ""opaque windows of the jail""; ""opaque to X-rays""",
35736,adjective,"filled or abounding with clouds",
35737,adjective,"resembling a cloud",
35738,adjective,"darkened with overcast; ""a dark day""; ""a dull sky""; ""a grey rainy afternoon""; ""grey clouds""; ""the sky was leaden and thick""",
35739,adjective,"darkened by clouds; ""a heavy sky""",
35740,adjective,"filled with vapor; ""miasmic jungles""; ""a vaporous bog""",
35741,adjective,"clouded with a mixture of smoke and fog; ""the smoggy atmosphere of Los Angeles""",
35742,verb,"strike hard, especially with the fist; ""He clouted his attacker""",
35743,noun,"a target used in archery",
35744,noun,"a short nail with a flat head; used to attach sheet metal to wood",
35745,noun,"aromatic flower bud of a clove tree; yields a spice",
35746,noun,"moderate sized very symmetrical red-flowered evergreen widely cultivated in the tropics for its flower buds which are source of cloves",
35747,noun,"spice from dried unopened flower bud of the clove tree; used whole or ground",
35748,noun,"a tropical evergreen tree of the myrtle family native to the East Indies but cultivated elsewhere",
35749,noun,"tree bearing aromatic bark or berries",
35750,noun,"a hoof divided into two parts at its distal extremity (as of ruminants or swine)",
35751,noun,"the foot of an ungulate mammal",
35752,noun,"a plant of the genus Trifolium",
35753,noun,"any leguminous plant having leaves divided into three leaflets",
35754,noun,"European mountain clover with fragrant usually pink flowers",
35755,noun,"clover native to Ireland with yellowish flowers; often considered the true or original shamrock",
35756,noun,"southern European annual with spiky heads of crimson flower; extensively cultivated in United States for forage",
35757,noun,"erect to decumbent short-lived perennial having red-purple to pink flowers; the most commonly grown forage clover",
35758,noun,"clover of western United States",
35759,noun,"creeping European clover having white to pink flowers and bright green leaves; naturalized in United States; widely grown for forage",
35760,noun,"an interchange that does not require left-hand turns",
35761,noun,"a junction of highways on different levels that permits traffic to move from one to another without crossing traffic streams",
35762,adjective,"like a clown; ""a buffoonish walk""; ""a clownish face""; ""a zany sense of humor""",
35763,adjective,"full of or characterized by humor; ""humorous stories""; ""humorous cartoons""; ""in a humorous vein""",
35764,verb,"supply or feed to surfeit",
35765,verb,"cause surfeit through excess though initially pleasing; ""Too much spicy food cloyed his appetite""",
35766,verb,"fill to satisfaction; ""I am sated""",
35767,verb,"unite with a common purpose; ""The two men clubbed together""",
35768,noun,"a team of professional baseball players who play and travel together; ""each club played six home games with teams in its own division""",
35769,noun,"a league of baseball teams",
35770,noun,"a club that people join in order to buy selected books at reduced prices",
35771,noun,"a club of people to play chess",
35772,noun,"a suburban club for recreation and socializing",
35773,noun,"a club organized to sing together",
35774,noun,"a club of people to play golf",
35775,noun,"an association of huntsmen who hunt for sport",
35776,noun,"a club of small investors who buy and sell securities jointly",
35777,noun,"a club to promote and regulate horse racing",
35778,noun,"club for players of racket sports",
35779,noun,"a club for person who row",
35780,noun,"a social club for female undergraduates",
35781,noun,"a club of tumblers or gymnasts",
35782,noun,"club that promotes and supports yachting and boating",
35783,noun,"a club of professional or business people organized for their coordination and active in public services",
35784,noun,"someone who is a member of a club",
35785,noun,"a bottle-shaped club used in exercises",
35786,noun,"a short wooden club with a heavy knob on one end; used by aborigines in southern Africa",
35787,noun,"club consisting of a heavy stick (often bamboo) bound with iron; used by police in India",
35788,noun,"a room used for the activities of a club",
35789,noun,"a room set aside for reading",
35790,noun,"golf equipment used by a golfer to hit a golf ball",
35791,noun,"sports equipment used in playing golf",
35792,noun,"a golf club that has a relatively narrow metal head",
35793,noun,"a golf club with a long shaft used to hit long shots; originally made with a wooden head; ""metal woods are now standard""",
35794,noun,"(golf) the head of the club which strikes the ball",
35795,noun,"a playing card in the minor suit that has one or more black trefoils on it; ""he led a small club""; ""clubs were trumps""",
35796,noun,"congenital deformity of the foot usually marked by a curled shape or twisted position of the ankle and heel and toes",
35797,noun,"deformity of the foot in which the foot is twisted outward",
35798,noun,"talipes in which the toes are pointed downward",
35799,noun,"talipes in which the toes are pointed upward and the person walks on the heel of the foot",
35800,noun,"the sound made by a hen (as in calling her chicks)",
35801,noun,"a slight indication",
35802,noun,"something that serves to indicate or suggest; ""an indication of foul play""; ""indications of strain""; ""symptoms are the prime indicants of disease""",
35803,verb,"crowd or draw together; ""let's huddle together--it's cold!""",
35804,verb,"walk clumsily",
35805,noun,"a heavy dull sound (as made by impact of heavy objects)",
35806,adjective,"showing lack of skill or aptitude; ""a bungling workman""; ""did a clumsy job""; ""his fumbling attempt to put up a shelf""",
35807,verb,"get into one's hands, take physically; ""Take a cookie!""; ""Can you take this bag, please""",
35808,verb,"seize suddenly",
35809,verb,"seize together, as of parallel ropes of a tackle in order to prevent running through the block",
35810,verb,"seize by the neck or collar",
35811,verb,"take or grasp suddenly; ""She grabbed the child's hand and ran out of the room""",
35812,verb,"to grasp hastily or eagerly; ""Before I could stop him the dog snatched the ham bone""",
35813,verb,"to grip or seize, as in a wrestling match; ""the two men grappled with each other for several minutes""",
35814,verb,"hold firmly, usually with one's hands; ""She clutched my arm when she got scared""",
35815,verb,"move or arrange oneself in a comfortable and cozy position; ""We cuddled against each other to keep warm""; ""The children snuggled into their sleeping bags""",
35816,verb,"affect; ""Fear seized the prisoners""; ""The patient was seized with unbearable pains""; ""He was seized with a dreadful disease""",
35817,noun,"a tense critical situation; ""he is a good man in the clutch""",
35818,noun,"a state that continues for a limited time",
35819,noun,"a pedal or lever that engages or disengages a rotating shaft and a driving mechanism; ""he smoothely released the clutch with one foot and stepped on the gas with the other""",
35820,noun,"a coupling that connects or disconnects driving and driven parts of a driving mechanism; ""this year's model has an improved clutch""",
35821,noun,"the gears that transmit power from an automobile engine via the driveshaft to the live axle",
35822,noun,"a clutch (as on the rear wheel of a bicycle) that allows wheels to turn freely (as in coasting)",
35823,noun,"a clutch in which one part turns the other by the friction between them",
35824,verb,"fill a space in a disorderly way",
35825,noun,"a confused multitude of things",
35826,noun,"a condition in which things are not in their expected places; ""the files are in complete disorder""",
35827,noun,"a jumble of things to be given away",
35828,noun,"unwanted echoes that interfere with the observation of signals on a radar screen",
35829,noun,"injection of a liquid through the anus to stimulate evacuation; sometimes used for diagnostic purposes",
35830,noun,"(medicine) cleaning a wound or body organ by flushing or washing out with water or a medicated solution",
35831,noun,"a water enema given to flush out the colon",
35832,noun,"contrast medium is injected into the rectum and x-rays are taken to search for lesions",
35833,noun,"an odorless very poisonous gas that is a product of incomplete combustion of carbon",
35834,noun,"an oxide containing just one atom of oxygen in the molecule",
35835,noun,"a hard ferromagnetic silver-white bivalent or trivalent metallic element; a trace element in plant and animal nutrition",
35836,noun,"a grey mineral consisting of cobalt arsenide and nickel; an important source of cobalt and nickel",
35837,noun,"a rare silvery-white mineral; important ore of cobalt",
35838,noun,"a radioactive isotope of cobalt with mass number 60; a source of exceptionally intense gamma rays; used in radiation therapy",
35839,noun,"one who refuses to serve in the armed forces on grounds of conscience",
35840,noun,"a person who dissents from some established policy",
35841,noun,"a national park in Colorado containing prehistoric cliff dwellings; semiarid landscape",
35842,noun,"a national park in Colorado having mountains and lakes and streams and forests",
35843,noun,"the state capital and largest city of Colorado; located in central Colorado on the South Platte river",
35844,noun,"a river that rises in the Rocky Mountains in Colorado and flows southeast through Kansas and Oklahoma and through Arkansas to become a tributary of the Mississippi River",
35845,noun,"an important river in the southwestern United States; rises in the Rocky Mountains of northern Colorado and flows southwest through Utah into Arizona (where it flows through the Grand Canyon) and then southward through the southern tip of Nevada, then forming the border between California and Arizona and finally into Mexico where it empties into the Gulf of California; the main source of water in the southwestern United States",
35846,noun,"a large plateau south and west of the Rocky Mountains; abuts mountains on the north and east and ends in an escarpment overlooking lowlands to the south and west; the Grand Canyon is carved out of the southwestern corner",
35847,noun,"a river that rises in northern Colorado and flows northward into Wyoming and then eastward and southeastward through Nebraska where it joins the South Platte to form the Platte River",
