ID,POS,Gloss
41623,noun,"someone who has supervisory duties at a summer camp",
41624,noun,"a counselor who admonishes frankly and sternly",
41625,noun,"(Greek mythology) a wise old counselor to the Greeks at Troy",
41626,verb,"count again; ""We had to recount all the votes after an accusation of fraud was made""",
41627,verb,"count wrongly",
41628,verb,"to be oppressive or burdensome; ""weigh heavily on the mind"", ""Something pressed on his mind""",
41629,verb,"name or recite the numbers; ""The toddler could count to 100""",
41630,verb,"repeat aloud from memory; ""she recited a poem""; ""The pupil recited his lesson for the day""",
41631,verb,"count backwards; before detonating a bomb, for example",
41632,verb,"include as if by counting; ""I can count my colleagues in the opposition""",
41633,noun,"a count of troops killed in an operation or time period; ""the daily body count increased as the war went on""",
41634,noun,"number of people in a particular group",
41635,noun,"the number of pollen grains (usually ragweed) in a standard volume of air over a twenty-four hour period and a specified time and place",
41636,noun,"the number of sperm in an ejaculate; ""the sperm count is used as an indicator of male fertility""",
41637,noun,"counting backward from an arbitrary number to indicate the time remaining before some event (such as launching a space vehicle)",
41638,noun,"an inaccurate count",
41639,noun,"the counting of votes (as in an election)",
41640,noun,"an additional (usually a second) count; especially of the votes in a close election",
41641,noun,"the act of estimating the number of spermatozoa in an ejaculate",
41642,noun,"a nobleman (in various countries) having rank equal to a British earl",
41643,noun,"a count who exercised royal authority in his own domains",
41644,noun,"a count who had jurisdiction over a large territory in medieval Germany",
41645,noun,"a face without any interpretable expression (as that of a good poker player)",
41646,noun,"an endorsement; ""they gave us the O.K. to go ahead""",
41647,noun,"an endorsement made in a passport that allows the bearer to enter the country issuing it",
41648,noun,"the phrase used by the official censor of the Roman Catholic Church to say that a publication has been examined and contains nothing offensive to the church",
41649,noun,"a large fat human face",
41650,noun,"counter where meats are displayed for sale",
41651,noun,"counter where notions are sold",
41652,noun,"a counter (as in a hotel) where guests are received",
41653,noun,"the top side of a counter",
41654,noun,"an electronic counter that counts the number of electric pulses",
41655,noun,"a person who counts things",
41656,noun,"a separate part consisting of leather",
41657,verb,"counteract the normal operation of (an automatic gear shift in a vehicle)",
41658,verb,"destroy property or hinder normal operations; ""The Resistance sabotaged railroad operations during the war""",
41659,verb,"cause to run off the tracks; ""they had planned to derail the trains that carried atomic waste""",
41660,noun,"action intended to nullify the effects of some previous action",
41661,noun,"(fencing) a counterattack made immediately after successfully parrying the opponents lunge",
41662,verb,"constitute a counterweight or counterbalance to",
41663,adjective,"in the direction opposite to the rotation of the hands of a clock",
41664,adjective,"of or on the left; ""a sinistral gastropod shell with the apex upward has its opening on the left when facing the observer""; ""a sinistral flatfish lies with the left eye uppermost""",
41665,adjective,"rotating to the left",
41666,noun,"spying on the spies",
41667,adjective,"not in accordance with the fact or reality or actuality; ""gave false testimony under oath""; ""false tales of bravery""",
41668,adjective,"adopted in order to deceive; ""an assumed name""; ""an assumed cheerfulness""; ""a fictitious address""; ""fictive sympathy""; ""a pretended interest""; ""a put-on childish voice""; ""sham modesty""",
41669,adjective,"intended to deceive; ""a spurious work of art""",
41670,adjective,"constituting a copy or imitation of something; ""boys in mock battle""",
41671,adjective,"represented or appearing as such; pretended; ""His ostensible purpose was charity, his real goal popularity""",
41672,adjective,"serving as an imitation or substitute; ""pinchbeck heroism""",
41673,adjective,"(often used in combination) not genuine but having the appearance of; ""a pseudo esthete""; ""pseudoclassic""",
41674,adjective,"not genuine or natural; ""counterfeit rhetoric that flourishes when passions are synthetic""- George Will",
41675,verb,"make a copy of with the intent to deceive; ""he faked the signature""; ""they counterfeited dollar bills""; ""She forged a Green Card""",
41676,noun,"something that is a counterfeit; not what it seems to be",
41677,noun,"the part of a check that is retained as a record",
41678,noun,"the operation of gathering information about an enemy",
41679,noun,"intelligence on the identity and capability and intentions of hostile individuals or organizations that may be engaged in espionage or sabotage or subversion or terrorism",
41680,noun,"the aspect of counterintelligence designed to detect and prevent subversive activities",
41681,noun,"counterintelligence designed to detect and counteract sabotage",
41682,verb,"march back along the same way",
41683,verb,"march in a procession; ""They processed into the dining room""",
41684,verb,"change the order of soldiers during a march",
41685,verb,"assign a new order to",
41686,noun,"the act of marching; walking with regular steps (especially in a procession of some kind); ""it was a long march""; ""we heard the sound of marching""",
41687,noun,"an action taken to offset another action",
41688,noun,"any maneuver made as part of progress toward a goal; ""the situation called for strong measures""; ""the police took steps to reduce crime""",
41689,verb,"destroy enemy mines with one's own mines; ""We countermined the banks of the river""",
41690,verb,"lay mines; ""The Vietnamese mined Cambodia""",
41691,noun,"a large scale offensive (more than a counterattack) undertaken by a defending force to seize the initiative from an attacking force",
41692,noun,"the action of attacking an enemy",
41693,noun,"something that resembles or harmonizes with; ""that tie makes a good match with your jacket""",
41694,noun,"a bad or unsuitable match",
41695,noun,"a duplicate copy",
41696,verb,"make a plot in response to another plot",
41697,noun,"a plot intended to subvert another plot",
41698,noun,"a musical form involving the simultaneous sound of two or more melodies",
41699,noun,"music arranged in parts for several voices or instruments",
41700,noun,"(counterpoint) a variation of a melody or part in which  ascending intervals are replaced by descending intervals and vice versa",
41701,noun,"a revolution whose aim is to reverse the changes introduced by a previous revolution",
