ID,POS,Gloss
53515,verb,"cause to move at full gallop; ""Did you gallop the horse just now?""",
53516,verb,"ride at a trot",
53517,noun,"the difference between the market value of a property and the claims held against it",
53518,noun,"the ownership interest of shareholders in a corporation",
53519,noun,"(law) a right or legal share of something; a financial involvement with something; ""they have interests all over the world""; ""a stake in the company's future""",
53520,noun,"interest in a building that a tenant earns by contributing to its renovation or maintenance",
53521,noun,"conformity with rules or standards; ""the judge recognized the fairness of my claim""",
53522,noun,"the quality of being just or fair",
53523,noun,"fairness in treating people without prejudice",
53524,noun,"fairness in following the rules of the game",
53525,noun,"functional equality",
53526,noun,"a person or thing that takes or can take the place of another",
53527,adjective,"open to question; ""aliens of equivocal loyalty""; ""his conscience reproached him with the equivocal character of the union into which he had forced his son""-Anna Jameson",
53528,adjective,"uncertain as a sign or indication; ""the evidence from bacteriologic analysis was equivocal""",
53529,adjective,"not conclusive; not putting an end to doubt or question; ""an inconclusive reply""; ""inconclusive evidence""; ""the inconclusive committee vote""",
53530,verb,"be deliberately ambiguous or unclear in order to mislead or withhold information",
53531,noun,"any language that pretends to communicate but actually does not",
53532,noun,"an intentionally noncommittal or ambiguous statement; ""when you say `maybe' you are just hedging""",
53533,noun,"falsification by means of vague or ambiguous language",
53534,noun,"approximately the last 63 million years",
53535,verb,"remove from memory or existence; ""The Turks erased the Armenians in 1915""",
53536,noun,"an implement used to erase something",
53537,noun,"an eraser that removes chalk marks from blackboard",
53538,noun,"an eraser that removes ink marks",
53539,noun,"an eraser made of rubber (or of a synthetic material with properties similar to rubber); commonly mounted at one end of a pencil",
53540,noun,"(Greek mythology) the Muse of lyric and love poetry",
53541,noun,"in ancient Greek mythology any of 9 daughters of Zeus and Mnemosyne; protector of an art or science",
53542,noun,"(Greek mythology) Greek god of darkness who dwelt in the underworld; son of Chaos; brother of Nox; father of Aether and Day",
53543,adjective,"capable of being raised to an upright position; ""erectile feathers""",
53544,adjective,"pertaining to an upright standing posture; ""orthostatic hypotension""",
53545,adjective,"in walking position with right foreleg raised",
53546,adjective,"rearing on left hind leg with forelegs elevated and head usually in profile; ""a lion rampant""",
53547,adjective,"of plants that are semi-climbers",
53548,adjective,"of plants that are partly erect",
53549,adjective,"of animals that are partly erect",
53550,adjective,"having a supporting base; ""a standing lamp""",
53551,adjective,"requiring a standing position; ""a stand-up bar""; ""a stand-up comic""",
53552,adjective,"standing on four feet",
53553,adjective,"of posture; ""a slim straight-backed dancer""",
53554,adjective,"erect in posture; ""sit straight""; ""stood defiantly with unbowed back""",
53555,adjective,"of sexual organs; stiff and rigid",
53556,verb,"raise; ""The dog pricked up his ears""",
53557,noun,"an erect penis",
53558,noun,"the arousal of sexual desires in preparation for sexual behavior",
53559,noun,"measuring instrument designed to measure power",
53560,noun,"a plant disease caused by the ergot fungus",
53561,noun,"a fungus that infects various cereal plants forming compact black masses of branching filaments that replace many grains of the plant; source of medicinally important alkaloids and of lysergic acid",
53562,noun,"fungi parasitic upon the ovaries of various grasses",
53563,noun,"a sclerotium or hardened mass of mycelium",
53564,noun,"poisoning by ingestion of ergot-infected grain products; characterized by thirst and diarrhea and nausea and craming and vomiting and abnormal cardiac rhythms; in severe cases it can cause seizures and gangrene of the limbs",
53565,noun,"the physiological state produced by a poison or other toxic substance",
53566,noun,"large genus of low much-branched woody evergreens ranging from prostrate subshrubs to trees: true heaths",
53567,noun,"dwarf European shrub with very early blooming bell-shaped red flowers",
53568,noun,"common low European shrub with purple-red flowers",
53569,noun,"dwarf European shrub with rose-colored flowers",
53570,noun,"bushy shrub having pink to white flowers; common on the moors of Cornwall and in southwestern Europe; cultivated elsewhere",
53571,noun,"erect dense shrub native to western Iberian peninsula having profuse white or pink flowers; naturalized in southwestern England",
53572,noun,"South African shrub grown for its profusion of white flowers",
53573,noun,"an early name of Ireland that is now used in poetry",
53574,noun,"(Greek mythology) goddess of discord; sister of Ares",
53575,noun,"a conical flask with a wide base and narrow neck",
53576,noun,"the expensive white fur of the ermine",
53577,noun,"mustelid of northern hemisphere in its white winter coat",
53578,noun,"small carnivorous mammal with short legs and elongated body and neck",
53579,noun,"the ermine in its brown summer coat with black-tipped tail",
53580,verb,"form by erosion; ""The river washed a ravine into the mountainside""",
53581,adjective,"sensitive to sexual stimulation",
53582,noun,"(Greek mythology) god of love; son of Aphrodite; identified with Roman Cupid",
53583,noun,"marks on a glaciated rock caused by the movement of a glacier",
53584,noun,"the erosion of beaches",
53585,noun,"the process of erosion whereby a level surface is produced",
53586,noun,"the washing away of soil by the flow of water",
