ID,POS,Gloss
71353,verb,"lease or rent all or part of (a leased or rented property) to another person; ""We sublet our apartment over the summer""",
71354,noun,"a rented car; ""she picked up a hire car at the airport and drove to her hotel""",
71355,noun,"a lease from one lessee to another",
71356,noun,"the period of time during which a contract conveying property to a person is in effect",
71357,noun,"a tenant who holds a lease",
71358,adjective,"the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree; ""didn't care the least bit""; ""he has the least talent of anyone""",
71359,noun,"a method of fitting a curve to data points so as to minimize the sum of the squares of the distances of the points from the curve",
71360,noun,"a method of analyzing or representing statistical data; a procedure for calculating a statistic",
71361,noun,"a very soft leather made from the skins of calves and having a suede finish on the flesh side",
71362,noun,"a smooth leather tanned with willow, birch, or oak, and scented on the flesh side with birch oil",
71363,noun,"a leather that has been treated with alum and/or salt",
71364,noun,"a fine leather originally made in Cordoba, Spain",
71365,noun,"leather from the hide of a deer",
71366,noun,"leather suitable for making gloves",
71367,noun,"soft suede glove leather from goatskin",
71368,noun,"a soft pebble-grained leather made from goatskin; used for shoes and book bindings etc.",
71369,noun,"leather with a hard glossy surface",
71370,noun,"leather from the skin of swine",
71371,noun,"leather used to make shoes",
71372,noun,"leather with a napped surface",
71373,noun,"a soft sheepskin leather that is colored and finished to resemble morocco; used in bookbinding",
71374,noun,"an amphibious division of the United States Navy",
71375,noun,"one species: trees and shrubs having flowers with acute or twisted petals and wingless fruit",
71376,noun,"deciduous shrub of North America: leatherwood",
71377,verb,"leave quickly",
71378,verb,"go away from; ""The actor walked off before he got his cue""; ""I got annoyed and just walked off""",
71379,verb,"leave abruptly, often in protest or anger; ""The customer that was not served walked out""",
71380,verb,"leave in a certain condition; ""She came away angry""",
71381,verb,"ride away on a horse, for example",
71382,verb,"leave slowly and hesitantly",
71383,verb,"depart in a hurry",
71384,verb,"leave furtively and stealthily; ""The lecture was boring and many students slipped out when the instructor turned towards the blackboard""",
71385,verb,"leave unchanged; ""let it be""",
71386,verb,"cause to be without a spouse; ""The war widowed many women in the former Yugoslavia""",
71387,noun,"a time period when you are not required to work; ""he requested time off to attend his grandmother's funeral""",
71388,noun,"a leave usually taken every seventh year",
71389,noun,"leave granted to a sailor or naval officer",
71390,noun,"a leave of absence from work because of illness",
71391,noun,"final leave before discharge from military service",
71392,noun,"permission to do something; ""she was granted leave to speak""",
71393,noun,"a leaven of dough in which fermentation is active; used by pioneers for making bread",
71394,adjective,"given to excessive indulgence in sexual activity; ""a lecherous gleam in his eye""; ""a lecherous good-for-nothing""",
71395,noun,"unrestrained indulgence in sexual activity",
71396,noun,"desk or stand with a slanted top used to hold a text at the proper height for a lecturer",
71397,noun,"a small table for holding articles of various kinds; ""a bedside stand""",
71398,noun,"a moralistic rebuke; ""your preaching is wasted on him""",
71399,noun,"the act of giving a talk to an audience; ""I attended an interesting talk on local history""",
71400,noun,"someone who lectures professionally",
71401,noun,"a self-luminous diode (it glows when an electrical field is applied to the electrodes) that does not require backlighting or diffusers",
71402,noun,"top rail of a fence or balustrade",
71403,noun,"United States filmmaker whose works explore the richness of Black culture in America (born in 1957)",
71404,noun,"United States physicist (born in China) who collaborated with Yang Chen Ning in disproving the principle of conservation of parity (born in 1926)",
71405,noun,"leader of the American Revolution who proposed the resolution calling for independence of the American colonies (1732-1794)",
71406,noun,"soldier of the American Revolution (1756-1818)",
71407,noun,"plant having a large slender white bulb and flat overlapping dark green leaves; used in cooking; believed derived from the wild Allium ampeloprasum",
71408,noun,"related to onions; white cylindrical bulb and flat dark-green leaves",
71409,verb,"look suggestively or obliquely; look or gaze with a sly, immodest, or malign expression; ""The men leered at the young women on the beach""",
71410,adjective,"using or intended for the left hand; ""left-handed golfers need left-handed clubs""; ""left-handed scissors""",
71411,adjective,"located on or directed toward the left; ""a car with left-hand drive""",
71412,adjective,"farthest to the left; ""the leftmost non-zero digit""",
71413,adjective,"being on the left side; ""the near or nigh horse is the one on the left""; ""the animal's left side is its near or nigh side""",
71414,adjective,"not used up; ""leftover meatloaf""; ""she had a little money left over so she went to a movie""; ""some odd dollars left""; ""saved the remaining sandwiches for supper""; ""unexpended provisions""",
71415,adjective,"not used up completely; ""an unexhausted well""",
71416,adjective,"intended for the left hand; ""I rarely lose a left-hand glove""",
71417,adjective,"of or belonging to the political or intellectual left",
71418,adjective,"radical or extremely liberal",
71419,adjective,"tending toward the political left",
71420,adjective,"believing in or supporting tenets of the political left",
71421,adjective,"having political or social views favoring reform and progress",
71422,noun,"location near or direction toward the left side; i.e. the side to the north when a person or object faces east; ""she stood on the left""",
71423,noun,"the part of the stage on the actor's left as the actor faces the audience",
71424,noun,"the piece of ground in the outfield on the catcher's left; ""the batter flied out to left""",
71425,noun,"a turn toward the side of the body that is on the north when the person is facing east; ""take a left at the corner""",
71426,noun,"a baseball pitcher who throws the ball with the left hand",
71427,noun,"a person who belongs to the political left",
71428,noun,"a person with mildly leftist political views",
71429,noun,"informal terms of the leg; ""fever left him weak on his sticks""",
71430,noun,"you own legs; ""I traveled on shank's mare""",
71431,noun,"long thin legs",
71432,noun,"accompany the peroneal arteries; arising in the heel and running up the back of the leg to join the posterior tibial veins of the popliteal vein",
71433,noun,"either of two chief superficial veins of the leg that drain blood from the foot",
71434,noun,"veins of the lower leg; empty into the popliteal vein",
71435,noun,"the front part of the human leg between the knee and the ankle",
71436,noun,"arises from the sacral plexus and passes about halfway down the thigh where it divides into the common peroneal and tibial nerves",
71437,noun,"a branch of the femoral nerve that supplies cutaneous branches to the inner aspect of the leg and foot",
71438,noun,"either of two skeletal muscle in each leg arising from the tibia; provides for movement of the foot",
71439,noun,"the inner and thicker of the two bones of the human leg between the knee and ankle",
71440,noun,"a structure in animals that is similar to a human leg and used for locomotion",
71441,noun,"a single bed with a frame in three sections so the head or middle or foot can be raised as required",
71442,noun,"a small cut of meat from the leg just above the foot",
71443,noun,"a prosthesis that replaces a missing leg",
71444,noun,"the leg of a pair of trousers",
71445,adjective,"ordered by a court of law",
71446,adjective,"formally approved and invested with legal authority",
71447,adjective,"prescribed or authorized by or punishable under a statute; ""statutory restrictions""; ""a statutory age limit""; ""statutory crimes""; ""statutory rape""",
71448,adjective,"before a judge or court of law; awaiting judicial determination",
71449,noun,"legal holiday in the United States, last Monday in May; commemorates the members of the United States armed forces who were killed in war",
71450,noun,"first Monday in September in the United States and Canada",
71451,noun,"a legal holiday commemorating the discovery of America by Christopher Columbus",
71452,noun,"any of several weekdays when banks are closed; a legal holiday in Britain",
71453,noun,"British, anniversary of Queen Victoria's birth",
71454,noun,"fourth Thursday in November in the United States; second Monday in October in Canada; commemorates a feast held in 1621 by the Pilgrims and the Wampanoag",
71455,noun,"a public holiday in Canada on the Monday on or before May 24th",
71456,verb,"give legal value to or establish as the legal tender of a country; ""They monetized the lira""",
71457,noun,"a permanent diplomatic mission headed by a minister",
71458,adjective,"(music) without breaks between notes; smooth and connected; ""a legato passage""",
71459,adjective,"so celebrated as to having taken on the nature of a legend; ""the legendary exploits of the arctic trailblazers""",
71460,adjective,"celebrated in fable or legend; ""the fabled Paul Bunyan and his blue ox""; ""legendary exploits of Jesse James""",
71461,adjective,"having legs of a specified kind or number; ""four-legged animals""; ""a peg-legged man""",
71462,adjective,"resembling or functioning like a leg; ""leglike appendages""",
71463,adjective,"having straight legs",
71464,adjective,"having or as if having three legs; ""a three-legged stool""; ""a three-legged race""",
71465,noun,"a strip of cloth wound around the leg to form legging; used by soldiers in World War I",
71466,adjective,"having long legs",
71467,noun,"distinctness that makes perception easy",
71468,noun,"a military unit composed of foreign volunteers who serve the state",
71469,noun,"a soldier who is a member of a legion (especially the French Foreign Legion)",
71470,noun,"a member of the American Legion",
71471,noun,"a person who has served in the armed forces",
71472,adjective,"(of legislation) not amended",
71473,noun,"legislation that makes something illegal; ""the criminalization of marijuana""",
71474,noun,"legislation that makes something legal that was formerly illegal",
71475,noun,"assembly possessing high legislative powers",
71476,noun,"a unicameral legislature",
71477,adjective,"based on the system of having only one member from each district (as of a legislature); ""a uninominal electoral system""",
71478,noun,"based on the principle of having only one member (as of a legislature) selected from each electoral district",
71479,noun,"an officer (as of a legislature or court) who maintains order and executes commands",
71480,noun,"leader of the majority party in a legislature",
71481,noun,"leader of the minority party in a legislature",
71482,noun,"a member of a senate",
71483,noun,"a legislator appointed by the party to enforce discipline",
71484,noun,"United States legislator who opposed the use of paper currency (1782-1858)",
71485,noun,"lawfulness by virtue of being authorized or in accordance with law",
71486,adjective,"born in wedlock; enjoying full filial rights",
71487,adjective,"(of marriages) of a marriage between one of royal or noble birth and one of lower rank; valid but with the understanding that the rank of the inferior remains unchanged and offspring do not succeed to titles or property of the superior",
71488,adjective,"based on known statements or events or conditions; ""rain was a logical expectation, given the time of year""",
71489,adjective,"in accordance with recognized or accepted standards or principles; ""legitimate advertising practices""",
71490,noun,"drought-tolerant herb grown for forage and for its seed which yield a gum used as a thickening agent or sizing material",
71491,noun,"erect bushy hairy annual herb having trifoliate leaves and purple to pink flowers; extensively cultivated for food and forage and soil improvement but especially for its nutritious oil-rich seeds; native to Asia",
71492,noun,"any of various plants of the family Leguminosae that usually grow like vines",
71493,noun,"widely cultivated Eurasian annual herb grown for its edible flattened seeds that are cooked like peas and also ground into meal and for its leafy stalks that are used as fodder",
71494,noun,"twining herb of Old World tropics cultivated in India for food and fodder; sometimes placed in genus Dolichos",
71495,noun,"any of several leguminous plants of western North America causing locoism in livestock",
71496,noun,"any of various plants of the genus Sesbania having pinnate leaves and large showy pea-like flowers",
71497,noun,"any of various climbing plants of the genus Vicia having pinnately compound leaves that terminate in tendrils and small variously colored flowers; includes valuable forage and soil-building plants",
71498,noun,"East Indian legume having hairy foliage and small yellow flowers followed by cylindrical pods; used especially in India for food and forage and as a soil conditioner; sometimes placed in genus Phaseolus",
