ID,POS,Gloss
79281,noun,"a poker hand with 2 cards of the same value",
79282,noun,"lightweight trousers worn in various eastern countries",
79283,noun,"pajamas with feet; worn by children",
79284,noun,"a large ornate exhibition hall",
79285,noun,"a palace that served as the residence of the popes until the 14th century",
79286,noun,"palace and royal residence built for Catherine de Medicis in 1564 and burned down in 1871; all that remains today are the formal gardens",
79287,noun,"a palace built in the 17th century for Louis XIV southwest of Paris near the city of Versailles",
79288,noun,"the property of being acceptable to the mouth",
79289,noun,"pleasant palatability",
79290,adjective,"produced with the front of the tongue near or touching the hard palate (as `y') or with the blade of the tongue near the hard palate (as `ch' in `chin' or `j' in `gin')",
79291,verb,"have a lengthy discussion, usually between people of different backgrounds",
79292,verb,"discuss, as between enemies",
79293,adjective,"(of light) lacking in intensity or brightness; dim or feeble; ""the pale light of a half moon""; ""a pale sun""; ""the late afternoon light coming through the el tracks fell in pale oblongs on the street""; ""a pallid sky""; ""the pale (or wan) stars""; ""the wan light of dawn""",
79294,adjective,"not full or rich; ""high, pale, pure and lovely song""",
79295,adjective,"(of sound) lacking resonance or volume; ""a thin feeble cry""",
79296,noun,"a wooden strip forming part of a fence",
79297,noun,"the branch of paleobotany that studies fossil trees",
79298,noun,"the study of ancient inscriptions",
79299,noun,"a stone tool from the Paleolithic age",
79300,noun,"second part of the Stone Age beginning about 750,00 to 500,000 years BC and lasting until the end of the last ice age about 8,500 years BC",
79301,noun,"the oldest part of the Paleolithic Age with the emergence of the hand ax; ended about 120,000 years ago",
79302,noun,"the time period of Neanderthal man; ended about 35,000 years BC",
79303,noun,"the time period during which only modern Homo sapiens was known to have existed; ended about 10,000 years BC",
79304,noun,"a specialist in paleontology",
79305,noun,"United States paleontologist and popularizer of science (1941-2002)",
79306,noun,"English comparative anatomist and paleontologist who was an opponent of Darwinism (1804-1892)",
79307,noun,"French paleontologist and philosopher (1881-1955)",
79308,noun,"the paleontology of microfossils",
79309,noun,"the paleontology of vertebrates",
79310,noun,"from 280 million to 230 million years ago; reptiles",
79311,noun,"from 405 million to 345 million years ago; dominance of fishes and appearance of amphibians and ammonites",
79312,noun,"from 425 million to 405 million years ago; first air-breathing animals",
79313,noun,"from 500 million to 425 million years ago; conodonts and ostracods and algae and seaweeds",
79314,noun,"from 544 million to about 500 million years ago; marine invertebrates",
79315,noun,"the study of fossil animals",
79316,noun,"the paleobiology of ancient mammals",
79317,noun,"the paleobiology of birds",
79318,noun,"a Palestinian terrorist organization formed in 2002 and linked to Fatah movement of Yasser Arafat",
79319,noun,"a Marxist-Leninist group that believes Palestinian goals can only be achieved by revolutionary change; ""in 1974 the DFLP took over a schoolhouse and massacred Israeli schoolchildren""",
79320,noun,"a Palestinian international terrorist organization that split from the PLO in 1974; has conducted terrorist attacks in 20 countries; ""in the 1980s the Fatah-RC was considered the most dangerous and murderous Palestinian terror group""",
79321,noun,"a little known Palestinian group responsible for bombings and for killing Israelis; seeks to defeat Israel and liberate southern Lebanon, Palestine, and Golan Heights",
79322,noun,"a militant Palestinian terrorist group created in 1979 and committed to the creation of an Islamic state in Palestine and to the destruction of Israel; smaller and more exclusively militant that Hamas",
79323,noun,"a little known Palestinian group comprised of members of Hamas and Tanzim with suspected ties to the Lebanese Hizballah; responsible for suicide bombings in Israel",
79324,noun,"a terrorist group of limited popularity formed in 1967 after the Six-Day War; combined Marxist-Leninist ideology with Palestinian nationalism; used terrorism to gain attention for their cause; hoped to eliminate the state of Israel",
79325,noun,"a political movement uniting Palestinian Arabs in an effort to create an independent state of Palestine; when formed in 1964 it was a terrorist organization dominated by Yasser Arafat's al-Fatah; in 1968 Arafat became chairman; received recognition by the United Nations and by Arab states in 1974 as a government in exile; has played a largely political role since the creation of the Palestine National Authority",
79326,noun,"an ethnic group of Arabs formerly living in Palestine",
79327,noun,"a spatula used by artists for mixing or applying or scraping off oil paints",
79328,noun,"a word or phrase that reads the same backward as forward",
79329,verb,"lose strength or effectiveness; become or appear boring, insipid, or tiresome (to); ""the course palled on her""",
79330,noun,"a fashionable street in London noted for its many private clubs",
79331,noun,"a portable platform for storing or moving goods that are stacked on it",
79332,noun,"a hand tool with a flat blade used by potters for mixing and shaping clay",
79333,noun,"a linear unit based on the length or width of the human hand",
79334,noun,"chiefly tropical trees and shrubs and vines usually having a tall columnar trunk bearing a crown of very large leaves; coextensive with the order Palmales",
79335,noun,"any of various tropical Asian palm trees the trunks of which yield sago",
79336,noun,"palm having pinnate or featherlike leaves",
79337,noun,"palm having palmate or fan-shaped leaves",
79338,noun,"attractive East Indian palm having distinctive bipinnate foliage",
79339,noun,"any of several tropical American palms bearing corozo nuts",
