ID,POS,Gloss
39641,noun,"a display of bad temper; ""he had a fit""; ""she threw a tantrum""; ""he made a scene""",
39642,verb,"form intrigues (for) in an underhand manner",
39643,noun,"a connoisseur of fine wines; a grape nut",
39644,noun,"what you must know in order to determine the reference of an expression",
39645,noun,"an idea that is implied or suggested",
39646,noun,"the idea that is intended; ""What is the meaning of this proverb?""",
39647,adjective,"having the power of implying or suggesting something in addition to what is explicit",
39648,adjective,"implied though not directly expressed; inherent in the nature of something; ""an implicit agreement not to raise the subject""; ""there was implicit criticism in his voice""; ""anger was implicit in the argument""; ""the oak is implicit in the acorn""",
39649,adjective,"of or relating to a connotation",
39650,adjective,"tending to suggest or imply; ""artifacts suggestive of an ancient society""; ""an implicative statement""",
39651,adjective,"derived or capable of being derived by inference",
39652,adjective,"used of the set of attributes that distinguish the referents of a given word",
39653,verb,"express or state indirectly",
39654,verb,"involve as a necessary condition of consequence; as in logic; ""solving the problem is predicated on understanding it well""",
39655,verb,"suggest as a logically necessary consequence; in logic",
39656,verb,"suppress; ""He choked down his rage""",
39657,verb,"cause to be quiet or not talk; ""Please silence the children in the church!""",
39658,verb,"keep from expression, for example by threats or pressure; ""All dissenters were silenced when the dictator assumed power""",
39659,verb,"suppress or crush completely; ""squelch any sign of dissent""; ""quench a rebellion""",
39660,verb,"conceal or hide; ""smother a yawn""; ""muffle one's anger""; ""strangle a yawn""",
39661,verb,"overcome by conquest; ""conquer your fears""; ""conquer a country""",
39662,noun,"a conqueror who defeats and enslaves",
39663,noun,"the invasion and settlement of England by the Normans following the battle of Hastings (1066)",
39664,noun,"success in mastering something difficult; ""the conquest of space""",
39665,noun,"an act of winning the love or sexual favor of someone",
39666,noun,"a seduction culminating in sexual intercourse; ""calling his seduction of the girl a `score' was a typical example of male slang""",
39667,noun,"motivation deriving logically from ethical or moral principles that govern a person's thoughts and actions",
39668,noun,"motivation based on ideas of right and wrong",
39669,noun,"an inner voice that judges your behavior",
39670,noun,"a motivating awareness of ethical responsibility",
39671,noun,"conformity to one's own sense of right conduct; ""a person of unflagging conscience""",
39672,noun,"the quality of being in accord with the dictates of conscience",
39673,noun,"the quality of being willing to ignore the dictates of conscience",
39674,noun,"a feeling of shame when you do something immoral; ""he has no conscience about his cruelty""",
39675,noun,"a painful emotion resulting from an awareness of inadequacy or guilt",
39676,adjective,"guided by or in accordance with conscience or sense of right and wrong; ""a conscientious decision to speak out about injustice""",
39677,adjective,"arising from the sense of right and wrong; ""a moral obligation""",
39678,adjective,"acceptable to your conscience",
39679,adjective,"used especially of what is legally or ethically right or proper or fitting; ""a just and lasting peace""- A.Lincoln; ""a kind and just man""; ""a just reward""; ""his just inheritance""",
